NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
A321-270N,PNLTM,D,16000,110.5,103.7,98.6,92.6,83.4,73.1,66.4,58.2,49.2,40.1
A321-270N,PNLTM,D,19000,111.2,104.3,99.2,93.5,84.9,74.5,67.4,59.6,51.2,42.1
A321-270N,PNLTM,D,23000,113.2,106.6,101.7,96.1,87.1,77.1,70.3,62.6,53.5,44.4
A321-270N,PNLTM,D,28000,113.6,106.9,102.0,96.7,88.4,78.1,71.5,63.9,54.0,44.8
A330-743L,EPNL,A,4000,99.2,94.0,90.3,86.4,80.3,72.9,67.6,61.5,53.7,45.6
A330-743L,EPNL,A,10000,101.6,96.3,92.7,88.6,82.2,74.7,69.2,63.0,55.2,47.0
A330-743L,EPNL,A,14000,102.4,96.9,93.0,89.1,82.9,75.3,69.9,63.7,56.1,48.1
A330-743L,EPNL,A,20000,104.1,98.2,94.1,89.9,83.8,76.2,70.9,64.8,57.3,49.4
A330-743L,EPNL,D,28000,105.0,100.2,96.5,92.6,85.3,77.9,72.6,66.1,58.5,50.7
A330-743L,EPNL,D,32000,106.5,100.6,97.2,93.3,87.0,79.7,74.5,68.4,61.0,53.5
A330-743L,EPNL,D,40000,109.8,103.6,100.5,96.8,90.5,83.1,77.9,71.8,65.2,58.1
A330-743L,EPNL,D,50000,112.1,106.6,103.4,99.7,94.1,87.1,82.1,76.4,70.0,63.4
A330-743L,EPNL,D,56000,113.8,109.4,106.2,102.6,97.4,90.4,85.6,80.2,73.9,67.6
A330-743L,LAmax,A,4000,90.9,84.6,80.3,75.6,67.9,59.3,53.1,46.4,39.1,31.8
A330-743L,LAmax,A,10000,93.1,86.7,82.1,77.2,69.4,60.8,54.6,47.7,40.1,32.5
A330-743L,LAmax,A,14000,93.5,87.1,82.6,77.7,69.9,61.4,55.2,48.3,40.7,33.1
A330-743L,LAmax,A,20000,94.6,88.2,83.7,78.8,71.0,62.5,56.2,49.3,41.6,34.0
A330-743L,LAmax,D,28000,96.4,90.1,85.6,80.7,72.9,64.1,57.9,50.9,43.0,34.9
A330-743L,LAmax,D,32000,98.2,91.5,87.1,82.2,74.4,65.8,59.6,52.7,44.7,36.6
A330-743L,LAmax,D,40000,101.1,94.6,90.2,85.5,77.7,69.0,62.7,55.8,47.9,39.8
A330-743L,LAmax,D,50000,104.6,98.5,94.3,89.7,82.0,73.3,66.9,59.9,52.0,44.0
