ACFT_ID,Profile_ID,Stage Length,Step Number,Step Type,Thrust Rating,Flap_ID,End Point Altitude (ft),Rate Of Climb (ft/min),End Point CAS (kt),Accel Percentage (%)
747400RN,ICAO_A,8,3,Climb,MaxClimb,T_10U,3000,,,
747400RN,ICAO_A,8,4,Accelerate,MaxClimb,T_05U,,470.1,223.4,55
747400RN,ICAO_A,8,5,Accelerate,MaxClimb,T_01U,,517.3,236.4,55
747400RN,ICAO_A,8,6,Accelerate,MaxClimb,T_01U,,559.8,254.7,55
747400RN,ICAO_A,8,7,Climb,MaxClimb,T_01U,4652,,,
747400RN,ICAO_A,8,8,Accelerate,MaxClimb,T_01U,,678.0,279.9,60
747400RN,ICAO_A,8,9,Climb,MaxClimb,T_00U,7500,,,
747400RN,ICAO_A,8,10,Climb,MaxClimb,T_00U,10000,,,
747400RN,ICAO_A,M,1,Takeoff,MaxTakeoff,T_10D,,,,
747400RN,ICAO_A,M,2,Climb,MaxTakeoff,T_10U,1500,,,
